RecordID,Hour,DayOfWeek,DayOfMonth,Consumption
77578,14.0,0.0,10.0,0.912
77607,16.0,0.0,10.0,6.384
77636,19.0,0.0,10.0,15.306
77665,15.0,0.0,10.0,0.988
77694,20.0,0.0,10.0,7.78
77723,11.0,0.0,10.0,0.932
77752,7.0,0.0,10.0,0.91
77781,2.0,0.0,10.0,0.906
77810,22.0,0.0,10.0,8.68
77839,17.0,0.0,10.0,6.636
77868,8.0,0.0,10.0,0.936
77897,3.0,0.0,10.0,0.932
77926,13.0,0.0,10.0,1.116
77955,15.0,0.0,10.0,0.904
77984,5.0,0.0,10.0,0.962
78013,9.0,0.0,10.0,0.992
78042,20.0,0.0,10.0,8.204
78071,20.0,0.0,10.0,7.734
78100,5.0,0.0,10.0,1.886
78129,0.0,0.0,10.0,0.924
78158,13.0,0.0,10.0,0.974
78187,16.0,0.0,10.0,3.81
78216,18.0,0.0,10.0,6.902
78245,4.0,0.0,10.0,0.976
78274,21.0,0.0,10.0,8.256
78303,17.0,0.0,10.0,6.328
78332,10.0,0.0,10.0,0.956
78356,6.0,0.0,10.0,0.94
78385,0.0,0.0,10.0,1.864
78414,23.0,0.0,10.0,8.392
78443,13.0,0.0,10.0,0.982
78472,17.0,0.0,10.0,5.756
78501,1.0,0.0,10.0,0.892
78530,10.0,0.0,10.0,0.936
78564,9.0,0.0,10.0,0.92
78593,3.0,0.0,10.0,1.056
78622,23.0,0.0,10.0,9.094
78651,16.0,0.0,10.0,7.214
78680,9.0,0.0,10.0,1.056
78709,1.0,0.0,10.0,0.97
78738,23.0,0.0,10.0,8.104
78767,18.0,0.0,10.0,7.194
78796,2.0,0.0,10.0,0.9
78825,12.0,0.0,10.0,0.972
78854,7.0,0.0,10.0,0.926
78883,15.0,0.0,10.0,0.944
78912,1.0,0.0,10.0,0.956
78941,7.0,0.0,10.0,0.956
78970,11.0,0.0,10.0,0.946
78999,14.0,0.0,10.0,0.944
79028,18.0,0.0,10.0,8.156
79057,22.0,0.0,10.0,8.692
79534,21.0,1.0,11.0,8.154
79563,10.0,1.0,11.0,7.86
79592,6.0,1.0,11.0,0.96
79621,17.0,1.0,11.0,5.674
79650,15.0,1.0,11.0,3.184
79679,10.0,1.0,11.0,7.52
79708,7.0,1.0,11.0,0.88
79737,3.0,1.0,11.0,0.966
79766,19.0,1.0,11.0,7.82
79795,14.0,1.0,11.0,4.186
79824,7.0,1.0,11.0,0.982
79853,11.0,1.0,11.0,6.368
79882,21.0,1.0,11.0,8.29
79911,17.0,1.0,11.0,6.648
79940,13.0,1.0,11.0,4.752
79969,3.0,1.0,11.0,0.908
79998,22.0,1.0,11.0,8.514
80027,18.0,1.0,11.0,6.38
80056,10.0,1.0,11.0,8.34
80085,1.0,1.0,11.0,0.93
80114,20.0,1.0,11.0,8.472
80143,11.0,1.0,11.0,5.528
80186,3.0,1.0,11.0,0.936
80215,22.0,1.0,11.0,7.484
80244,16.0,1.0,11.0,5.742
80273,13.0,1.0,11.0,4.638
80302,9.0,1.0,11.0,8.776
80331,5.0,1.0,11.0,1.0
80360,0.0,1.0,11.0,2.35
80389,9.0,1.0,11.0,9.288
80418,4.0,1.0,11.0,1.832
80447,23.0,1.0,11.0,8.22
80476,15.0,1.0,11.0,4.24
80505,19.0,1.0,11.0,14.988
80534,15.0,1.0,11.0,4.344
80563,12.0,1.0,11.0,5.16
80592,2.0,1.0,11.0,0.932
80607,7.0,1.0,11.0,0.908
80636,23.0,1.0,11.0,7.02
80665,21.0,1.0,11.0,8.616
80694,9.0,1.0,11.0,9.268
80723,12.0,1.0,11.0,5.57
80752,4.0,1.0,11.0,0.93
80781,14.0,1.0,11.0,4.03
80810,17.0,1.0,11.0,6.04
80839,6.0,1.0,11.0,0.982
80868,2.0,1.0,11.0,0.964
80897,8.0,1.0,11.0,10.728
80926,11.0,1.0,11.0,5.984
80955,20.0,1.0,11.0,7.538
80984,22.0,1.0,11.0,7.524
81013,6.0,1.0,11.0,0.94
81042,12.0,1.0,11.0,5.242
81071,2.0,1.0,11.0,0.964
81100,18.0,1.0,11.0,5.756
81129,8.0,1.0,11.0,1.042
81158,20.0,1.0,11.0,7.908
81187,13.0,1.0,11.0,4.322
81216,1.0,1.0,11.0,0.886
81245,1.0,1.0,11.0,0.932
81274,5.0,1.0,11.0,0.972
81303,18.0,1.0,11.0,7.444
81332,14.0,1.0,11.0,4.496
81361,16.0,1.0,11.0,4.88
81390,0.0,1.0,11.0,0.948
81419,5.0,1.0,11.0,1.13
83189,22.0,2.0,12.0,9.412
83218,8.0,2.0,12.0,0.952
83247,12.0,2.0,12.0,1.012
83276,3.0,2.0,12.0,0.916
83305,15.0,2.0,12.0,0.936
83334,18.0,2.0,12.0,0.92
83363,7.0,2.0,12.0,1.046
83392,12.0,2.0,12.0,0.972
83421,1.0,2.0,12.0,0.944
83450,16.0,2.0,12.0,1.956
83479,20.0,2.0,12.0,1.978
83508,23.0,2.0,12.0,8.844
83537,13.0,2.0,12.0,1.032
83566,16.0,2.0,12.0,0.98
83595,10.0,2.0,12.0,0.912
83624,0.0,2.0,12.0,0.978
83653,5.0,2.0,12.0,0.976
